ACO_Num_2015,ageinmonths,savelossamt,savelosspct,mammoqualscore,numassignbenef,edvisits,totalvisits,pcpvisits,nursevisits,numpcps,numspecialists,saveflag,mammohilo,numnppacns,nptomdvisrat,ruralflag,totalvisq
A62480,57,"5,828,578.00",0.0521,66.22,11136,646,10011,4069,758,150,50,1,1,29,0.186286557,0,2
A63217,39,"-7,384,927.00",-0.0498,55.54,18538,734,9248,4574,912,55,4,0,1,14,0.199387844,0,1
A63260,27,"-4,092,447.00",-0.0204,69.1,20344,603,11031,3570,1176,179,477,0,1,72,0.329411765,0,3
A63462,39,"-14,327,658.00",-0.047,71.83,35076,692,8844,3850,1347,334,349,0,1,172,0.34987013,0,0
A64206,60,"-2,127,477.00",-0.0124,68.94,14770,715,11751,3380,1065,83,181,0,1,22,0.315088757,0,3
A64218,57,"-3,273,596.00",-0.0457,55.26,5969,968,11367,4547,2315,20,2,0,1,9,0.509126897,0,3
A64316,57,"-2,871,022.00",-0.0441,77.82,8481,410,8995,3058,1133,84,237,0,1,22,0.370503597,0,1
A64629,57,"-971,237.00",-0.0068,72.45,15053,564,11819,4046,1011,78,105,0,1,52,0.249876421,0,3
A64742,51,"-1,860,357.00",-0.0201,50.26,8220,724,10011,4806,372,34,26,0,1,4,0.077403246,0,2
A64801,51,"3,596,836.00",0.0265,70.32,14324,711,9406,3172,1663,102,152,1,1,65,0.524274905,0,1
A65270,39,"-4,545,205.00",-0.0465,66.78,11047,606,8598,4245,1123,58,5,0,1,12,0.264546525,0,0
A65320,51,"-17,971,439.00",-0.0537,75.2,33263,696,10625,4100,1932,150,107,0,1,88,0.471219512,0,2
A65526,57,"89,128,773.00",0.1401,55.79,50055,629,10270,3940,1035,353,177,1,1,74,0.262690355,0,2
A65596,57,"926,024.00",0.0127,63.24,7033,636,11361,4321,585,27,55,1,1,17,0.135385327,0,3
A65633,27,"-4,843,593.00",-0.0087,82.76,64308,559,9328,3680,953,452,402,0,1,331,0.258967391,0,1
A65906,27,"-1,071,833.00",-0.0166,95.52,7006,734,7396,1674,850,72,102,0,1,12,0.50776583,1,0
A66096,27,"-4,162,850.00",-0.0891,37.56,6085,958,8634,395,531,66,402,0,0,64,1.344303797,0,0
A66307,51,"3,491,309.00",0.0488,70.81,5259,739,11666,4517,1126,23,7,1,1,4,0.249280496,0,3
A66698,51,"7,756,155.00",0.134,80.29,5239,573,12248,5489,697,17,21,1,1,1,0.126981235,0,3
A66733,57,"13,403,817.00",0.0436,76.29,31886,367,11718,3538,196,121,360,1,1,15,0.05539853,0,3
A66745,39,"-4,332,769.00",-0.0242,72.36,20186,573,9093,4331,982,203,213,0,1,144,0.226737474,0,1
A67273,57,"-10,095,503.00",-0.0124,70.4,92589,751,8459,2837,1399,664,1033,0,1,423,0.493126542,1,0
A67345,57,"12,069,640.00",0.0314,68.95,40014,690,9737,3084,1075,259,1061,1,1,289,0.348573281,0,1
A67365,39,"7,800,342.00",0.066,51.24,6597,877,14492,6272,1357,31,2,1,1,13,0.216358418,0,3
A67373,57,"76,642,477.00",0.0948,83.27,60845,645,14775,5182,741,219,278,1,1,63,0.142994983,0,3
A67604,60,"3,340,407.00",0.0252,33.91,7767,840,11427,4805,526,113,138,1,0,24,0.109469303,0,3
A67733,51,"7,314,278.00",0.1092,59.75,5411,851,9948,4114,908,24,14,1,1,13,0.220709772,0,2
A68137,39,"-4,116,167.00",-0.0783,61.96,6600,894,7955,253,703,52,16,0,1,35,2.778656126,1,0
A68749,39,"-2,752,756.00",-0.0388,56.63,9842,488,8049,3924,1238,36,178,0,1,46,0.315494393,0,0
A69078,39,"2,918,156.00",0.0315,41.76,7627,641,11658,4648,432,48,59,1,0,10,0.092943201,0,3
A69364,51,"-14,210,230.00",-0.0897,65.46,16972,731,10351,3879,1009,178,102,0,1,51,0.260118587,0,2
A69375,57,"-2,244,071.00",-0.0505,52.22,4383,557,9994,4128,325,96,86,0,1,11,0.07873062,0,2
A69405,27,"6,692,504.00",0.0449,66.02,17179,859,9204,3621,1576,279,393,1,1,150,0.435238884,1,1
A69881,39,"-10,397,367.00",-0.0787,41.6,6534,1047,15392,7951,882,45,30,0,0,5,0.110929443,0,3
A69939,51,"-2,220,972.00",-0.0049,60.8,41117,639,10777,3703,860,133,663,0,1,91,0.232244126,0,2
A70064,39,"556,745.00",0.0059,50,8353,725,11899,4755,917,89,195,1,1,50,0.192849632,0,3
A70411,57,"666,064.00",0.0038,14.98,14951,530,12205,4064,1058,97,410,1,0,17,0.260334646,0,3
A70756,60,"263,466.00",0.0028,76.84,9459,670,10860,5220,725,35,49,1,1,11,0.138888889,0,2
A70850,51,"7,296,532.00",0.0621,48.81,10705,805,11192,4980,834,62,31,1,0,18,0.16746988,0,3
A71307,39,"916,644.00",0.0016,57.19,58680,593,9893,3954,722,1104,385,1,1,192,0.182599899,0,2
A71487,27,"-4,537,571.00",-0.0176,86.83,24956,767,9081,3551,1291,316,812,0,1,229,0.363559561,0,1
A71489,57,"-340,797.00",-0.0023,57.84,12697,635,10835,3805,521,75,469,0,1,113,0.136925099,0,2
A71510,51,"-10,505,224.00",-0.0709,46.56,14437,837,9490,3570,1307,97,327,0,0,82,0.366106443,0,1
A71749,27,"3,887,880.00",0.0249,61.09,13891,878,9389,4117,934,228,595,1,1,110,0.226864222,0,1
A71891,57,"-2,581,570.00",-0.0174,75.68,17821,795,8248,3617,860,113,165,0,1,78,0.237766105,0,0
A72235,39,"-2,012,748.00",-0.0119,81.3,20494,719,9977,4006,903,226,72,0,1,20,0.225411882,0,2
A72294,51,"4,707,990.00",0.0762,51.82,5698,762,9826,4472,991,44,14,1,1,5,0.221601073,0,1
A72677,27,"-10,370,563.00",-0.0493,77.24,23329,877,8864,2829,670,295,724,0,1,194,0.236832803,1,0
A73256,27,"4,984,525.00",0.0507,64.58,8542,757,10444,4807,594,60,142,1,1,19,0.123569794,0,2
A73340,51,"-8,200,909.00",-0.0314,81.79,24941,939,8967,2528,1458,272,838,0,1,193,0.576740506,0,0
A73551,27,"413,218.00",0.0041,69.93,9701,809,9293,3249,1894,43,62,1,1,32,0.5829486,1,1
A73700,51,"7,682,692.00",0.0178,69.59,49933,718,8787,4230,1063,372,635,1,1,197,0.251300236,0,0
A73727,51,"-2,321,574.00",-0.0352,72.9,8141,611,8381,4476,919,46,132,0,1,43,0.205317248,0,0
A73981,39,"-2,998,723.00",-0.0159,64.56,23662,527,8773,4276,673,258,90,0,1,42,0.157390084,0,0
A74161,39,"-14,894,475.00",-0.0191,76.82,70628,680,10448,4058,709,687,1194,0,1,240,0.174716609,0,2
A74238,39,"-15,552,982.00",-0.0923,68.55,14337,574,13227,6486,359,43,3,0,1,1,0.055349985,0,3
A74254,39,"-612,269.00",-0.0101,41.03,6570,577,10431,4526,504,30,0,0,0,0,0.111356606,0,2
A74448,27,"-5,362,775.00",-0.0249,77.85,24262,687,9109,3042,2032,92,168,0,1,99,0.667981591,0,1
A74449,27,"664,926.00",0.0039,66.72,14684,711,10569,4183,687,97,240,1,1,35,0.164236194,0,2
A74604,57,"3,900,047.00",0.0288,60.17,12574,807,10185,4648,1215,71,80,1,1,87,0.261402754,1,2
A74976,27,"-1,263,357.00",-0.0125,76.99,11592,621,9065,2967,1462,118,248,0,1,51,0.492753623,0,1
A75525,51,"2,331,543.00",0.0353,57.42,6642,666,11812,4964,1095,33,27,1,1,24,0.220588235,0,3
A75625,27,"-8,605,407.00",-0.0308,,33523,715,8473,3352,968,325,532,0,0,173,0.288782816,1,0
A75637,27,"2,634,832.00",0.0154,73.83,18593,558,8004,2878,397,161,754,1,1,103,0.137943016,0,0
A76034,60,"-1,043,371.00",-0.0103,88.28,11573,548,11122,4314,1990,26,25,0,1,12,0.461288827,0,3
A76261,60,"33,353,310.00",0.1096,73.97,23156,581,12195,4713,589,132,426,1,1,100,0.124973478,0,3
A76576,51,"9,401,004.00",0.1666,81.54,5192,492,12799,5457,1189,23,5,1,1,3,0.217885285,1,3
A76577,51,"-5,877,300.00",-0.0249,82.27,29280,640,6890,2576,1431,314,1155,0,1,219,0.555512422,0,0
A76825,39,"2,023,292.00",0.0077,53.75,21881,865,11199,5485,878,221,110,1,1,16,0.160072926,0,3
A76834,27,"-4,704,614.00",-0.0398,65.22,12516,721,9612,4153,1623,61,93,0,1,16,0.39080183,0,1
A78144,57,"9,657,190.00",0.0952,91.25,10821,538,9846,4105,954,62,26,1,1,36,0.232399513,0,2
A78337,51,"6,593,039.00",0.0244,55.28,33379,580,7633,3068,1291,261,727,1,1,167,0.420795306,0,0
A78634,39,"-4,160,526.00",-0.0705,66.61,5891,1015,10189,5793,710,15,0,0,1,5,0.122561712,0,2
A78902,39,"28,502,501.00",0.1006,74.26,18212,836,12587,4089,961,143,332,1,1,53,0.235020787,0,3
A79092,39,"314,501.00",0.0042,40.1,7274,804,8619,4225,438,16,1,1,0,2,0.103668639,0,0
A79168,39,"-8,963,114.00",-0.0187,70.1,39140,754,9467,3560,935,554,1888,0,1,258,0.262640449,0,1
A79251,57,"15,606,554.00",0.0881,77.42,18054,1015,9259,4122,1811,274,344,1,1,135,0.43934983,1,1
A79410,27,"8,607,928.00",0.0622,75.33,13188,1049,8234,3297,1217,368,968,1,1,232,0.369123446,0,0
A79694,27,"433,152.00",0.0072,62.99,6489,680,8719,2941,978,35,143,1,1,23,0.332539952,0,0
A80267,51,"-15,448,653.00",-0.0585,87.1,31547,751,8019,3035,1535,212,635,0,1,153,0.505766063,0,0
A80460,39,"275,344.00",0.0019,39.05,10104,754,11515,5098,383,121,152,1,0,23,0.075127501,0,3
A80674,27,"-4,121,636.00",-0.0428,42.6,10743,814,9014,4342,1112,26,39,0,0,6,0.256103178,0,1
A80878,39,"-3,828,290.00",-0.0229,69.35,20756,572,10510,4743,752,85,43,0,1,7,0.158549441,0,2
A80939,39,"2,649,045.00",0.0573,62.68,5034,673,9422,5078,899,47,33,1,1,2,0.177038204,0,1
A80995,39,"-12,514,267.00",-0.0916,91.99,14909,762,9489,3154,1712,112,128,0,1,94,0.54280279,1,1
A81035,51,"-2,768,799.00",-0.0537,64.65,6107,673,9188,3260,1920,27,57,0,1,21,0.588957055,0,1
A81076,27,"-18,088,686.00",-0.0238,77.98,82591,788,8755,3516,1033,658,955,0,1,353,0.293799772,1,0
A81088,27,"-1,014,555.00",-0.0077,54.64,14717,862,10128,4800,753,98,62,0,1,20,0.156875,1,2
A81218,57,"5,315,391.00",0.0722,63.87,5509,1023,11608,5594,888,29,1,1,1,10,0.158741509,1,3
A81453,39,"3,127,102.00",0.0167,71.89,20824,778,8690,3461,1039,146,858,1,1,149,0.300202254,0,0
A81718,39,"-2,313,655.00",-0.0247,63.65,8215,627,12198,4697,1224,26,10,0,1,10,0.260591867,0,3
A81860,39,"2,087,468.00",0.059,74.1,2867,891,11710,5445,586,28,20,1,1,5,0.107621671,0,3
A82170,57,"-13,498,730.00",-0.0682,78.8,21143,728,8077,3522,1173,105,150,0,1,78,0.333049404,1,0
A82420,39,"-8,024,303.00",-0.0443,78.98,21597,559,9601,3684,1017,96,134,0,1,31,0.276058632,0,1
A82427,39,"-1,364,025.00",-0.008,,19548,576,10038,3287,978,86,99,0,0,46,0.297535747,0,2
A82596,60,"-5,294,451.00",-0.0263,60.07,24299,506,10049,3125,769,110,343,0,1,51,0.24608,0,2
A82661,51,"-11,607,172.00",-0.0564,64.62,22482,518,9093,3602,241,128,282,0,1,24,0.066907274,0,1
A83092,51,"-2,199,397.00",-0.0084,69.2,22131,770,10282,3540,2321,211,480,0,1,117,0.655649718,0,2
A83232,27,"-4,180,106.00",-0.0142,47.67,34376,702,8782,4190,666,125,80,0,0,45,0.158949881,1,0
A83794,51,"-4,895,311.00",-0.0131,81.39,41255,776,9719,4219,1446,350,845,0,1,241,0.342735245,0,1
A83851,57,"221,428.00",0.0016,47.8,8759,1332,12805,6230,1882,70,82,1,0,17,0.302086677,0,3
A83956,27,"-1,754,001.00",-0.0171,61.33,10210,628,10255,3914,848,94,613,0,1,63,0.21665815,0,2
A84785,51,"4,760,601.00",0.0367,62.67,8148,878,15436,6056,1478,41,1,1,1,7,0.244055482,0,3
A85241,51,"4,180,101.00",0.1141,52.59,6601,598,11301,5202,19,105,19,1,1,0,0.003652441,0,3
A85343,27,"-4,194,850.00",-0.0283,54.52,14193,953,8468,1689,710,189,410,0,1,61,0.420367081,1,0
A85439,60,"21,613,110.00",0.1747,80,9959,608,12124,6537,793,33,4,1,1,9,0.121309469,0,3
A85560,51,"-4,014,040.00",-0.0339,68.05,12327,596,9428,3932,834,56,27,0,1,20,0.212105799,0,1
A86004,27,"2,857,805.00",0.0078,77.18,31201,579,10081,2673,423,447,3515,1,1,326,0.158249158,0,2
A86333,57,"1,249,404.00",0.018,63.3,6787,735,9795,5454,692,26,20,1,1,5,0.126879355,0,1
A86344,27,"-9,184,779.00",-0.0749,63.1,6673,944,13013,6277,624,70,22,0,1,25,0.099410546,0,3
A86442,39,"-5,229,131.00",-0.0255,65.99,19849,640,10469,3478,1703,106,106,0,1,36,0.489649224,0,2
A86799,51,"1,774,190.00",0.0154,58.89,13398,1081,8618,394,654,159,75,1,1,77,1.659898477,0,0
A87299,27,"-261,283.00",-0.0025,71.03,11851,575,9623,3726,859,33,16,0,1,18,0.230542136,0,1
A87355,27,"-7,266,521.00",-0.026,59.27,29741,613,9259,4320,1152,334,973,0,1,215,0.266666667,0,1
A87771,51,"546,386.00",0.0061,64.65,9711,596,8790,2818,1507,22,34,1,1,13,0.534776437,1,0
A87823,57,"-13,070,051.00",-0.0393,80.1,28935,521,12763,4897,412,122,202,0,1,35,0.084133143,0,3
A87886,39,"1,136,261.00",0.0271,66.59,5030,646,7473,3478,946,59,10,1,1,15,0.2719954,0,0
A88215,57,"2,194,753.00",0.0289,46.99,6986,741,10385,6794,418,30,6,1,0,9,0.061524875,0,2
A88553,27,"399,145.00",0.0007,73.05,60203,703,9004,3395,1065,441,888,1,1,234,0.313696613,1,1
A88776,57,"-478,092.00",-0.0094,74.05,5228,738,8717,3984,1063,18,1,0,1,7,0.266817269,0,0
A89091,39,"5,026,533.00",0.0121,56.03,44157,762,10506,4346,914,179,230,1,1,105,0.210308329,0,2
A89093,57,"-697,450.00",-0.005,74.49,13951,651,9227,3653,1746,71,129,0,1,84,0.477963318,0,1
A90093,39,"12,865,253.00",0.0561,66.54,28242,545,9296,3608,463,106,186,1,1,41,0.128325942,0,1
A90742,39,"716,551.00",0.0084,84.13,9936,586,8323,3023,1573,56,72,1,1,46,0.520344029,1,0
A91115,57,"-17,482,058.00",-0.1305,61.54,15544,633,9943,3505,1015,154,320,0,1,50,0.289586305,0,2
A91256,51,"-9,052,228.00",-0.0637,74.57,15132,586,9045,4655,1224,67,0,0,1,9,0.262943072,1,1
A91307,27,"4,437,943.00",0.0361,39.2,11944,572,10139,3062,1141,82,275,1,0,32,0.372632266,0,2
A91435,39,"6,474,115.00",0.0658,67.21,5416,1187,12296,4377,3064,27,4,1,1,22,0.700022847,0,3
A91882,57,"13,911,028.00",0.0883,63.18,15909,586,8069,3456,1452,70,123,1,1,71,0.420138889,0,0
A92107,57,"1,136,357.00",0.0092,87.1,13594,996,8667,3402,1277,146,670,1,1,92,0.375367431,1,0
A92234,27,"-4,940,477.00",-0.0387,63.71,12691,602,9006,3164,991,74,173,0,1,37,0.313211125,0,1
A92374,51,"148,424.00",0.001,65.35,15470,737,9453,3073,1054,84,135,1,1,57,0.342987309,1,1
A92615,39,"1,750,317.00",0.0949,98.17,2334,1243,6957,578,469,75,94,1,1,50,0.811418685,0,0
A92852,51,"-24,748,797.00",-0.0368,71.97,65036,810,10049,4145,1333,632,960,0,1,219,0.32159228,1,2
A93114,27,"-738,145.00",-0.0073,63.93,10263,645,9676,3790,914,64,73,0,1,9,0.24116095,0,1
A93261,27,"-8,101,079.00",-0.1231,43.19,5909,1043,10772,2416,1623,74,92,0,0,57,0.671771523,1,2
A94529,51,"692,898.00",0.0066,,10980,558,12180,4847,1155,33,22,1,0,8,0.238291727,0,3
A94621,51,"5,612,114.00",0.0442,74.22,15183,499,10452,3787,805,85,30,1,1,25,0.212569316,0,2
A94900,27,"1,234,896.00",0.0162,51,6249,790,10686,4413,1515,33,63,1,1,26,0.343303875,0,2
A94912,51,"14,178,777.00",0.1927,91.51,5482,675,12477,6731,1423,18,0,1,1,9,0.211409895,0,3
A95164,51,"817,302.00",0.0028,77.75,36287,703,7859,2491,1023,255,486,1,1,191,0.410678442,1,0
A95248,27,"-956,728.00",-0.0063,66.33,13683,667,11904,3869,711,69,102,0,1,10,0.183768416,0,3
A95753,51,"-2,754,024.00",-0.0124,61.04,15044,822,13184,6494,1658,97,127,0,1,14,0.255312596,0,3
A95812,27,"17,295,364.00",0.0325,67.37,58996,701,9464,3667,1036,490,1692,1,1,296,0.282519771,1,1
A96588,51,"-3,038,756.00",-0.0064,60.9,40412,658,10884,4975,1055,334,831,0,1,97,0.212060302,0,2
A96888,27,"-831,878.00",-0.0049,77.6,19095,560,9076,3334,977,171,259,0,1,86,0.293041392,0,1
A97104,39,"-149,053.00",-0.0012,76.92,10808,639,12331,4667,1447,34,45,0,1,8,0.310049282,1,3
A97296,51,"-2,015,200.00",-0.056,,4777,658,7935,1193,750,65,87,0,0,75,0.628667225,0,0
A97325,57,"6,987,155.00",0.0253,68.14,24911,585,10156,4015,363,209,52,1,1,10,0.090410959,0,2
A97609,57,"-12,052,527.00",-0.0428,69.18,31622,614,9058,3980,1266,105,80,0,1,60,0.318090452,1,1
A98243,27,"15,089,499.00",0.0404,13.03,16411,1461,12829,7886,2428,190,34,1,0,71,0.307887395,0,3
A98813,57,"4,236,580.00",0.0362,64.75,11116,829,10020,5020,1683,33,1,1,1,35,0.335258964,1,2
A99401,60,"-2,365,964.00",-0.0343,78.33,8527,856,9006,5002,858,47,54,0,1,25,0.171531387,0,1
A99470,51,"2,168,001.00",0.0148,51.45,16601,612,8968,3249,609,154,489,1,1,67,0.18744229,0,0
A99784,27,"-887,984.00",-0.007,48.39,15561,743,8362,3634,827,201,226,0,0,82,0.227572922,0,0
